Sample,Latency_secs
590,0.000519509
591,0.000488972
592,0.000457604
593,0.000492669
594,0.000606451
595,0.000341978
596,0.00052582
597,0.000544316
598,0.000490464
599,0.000576365
600,0.000533886
601,0.000432166
602,0.000572629
603,0.000579972
604,0.000506666
605,0.000467842
606,0.00045619
607,0.000513528
608,0.000361945
609,0.000501205
610,0.000519839
611,0.000276926
612,0.000400988
613,0.000504912
614,0.00058415
615,0.000528125
616,0.00055782
617,0.000542401
618,0.000586414
619,0.000559353
620,0.00053106
621,0.000562599
622,0.000478393
623,0.000535679
624,0.000512165
625,0.000545127
626,0.00046642
627,0.000485666
628,0.000562909
629,0.00041834
630,0.000612152
631,0.000572127
632,0.000528426
633,0.000691861
634,0.000534197
635,0.000530139
636,0.000467672
637,0.000524919
638,0.000473964
639,0.000593447
640,0.00050944
641,0.000428409
642,0.000506685
643,0.000591543
644,0.000335496
645,0.000531301
646,0.000532063
647,0.00056864
648,0.000565685
649,0.000426205
650,0.000530058
651,0.00060013
652,0.000483231
653,0.000579581
654,0.000555456
655,0.00054148
656,0.000461571
657,0.000536551
658,0.000554154
659,0.00034327
660,0.000588337
661,0.000409995
662,0.000431265
663,0.000510012
664,0.000435943
665,0.000562218
666,0.000416917
667,0.000614777
668,0.000605049
669,0.000651806
670,0.000474145
671,0.00038602
672,0.000598316
673,0.000534467
674,0.000536691
675,0.000566977
676,0.000532303
677,0.000512837
678,0.000442125
679,0.000545147
680,0.000516633
681,0.00040198
682,0.000499472
683,0.000420203
684,0.000383085
685,0.000580503
686,0.00031091
687,0.000492258
688,0.000352728
689,0.000360091
690,0.000475837
691,0.000480376
692,0.000485415
693,0.00031094
694,0.000414163
695,0.000617882
696,0.000609376
697,0.00046619
698,0.00056308
699,0.000583909
700,0.000527524
701,0.000469285
702,0.000391821
703,0.000492218
704,0.000565815
705,0.000598756
706,0.000582667
707,0.000565635
708,0.000539977
709,0.000492188
710,0.00050948
711,0.000533676
712,0.000499431
713,0.000354361
714,0.000392362
715,0.000387904
716,0.000416737
717,0.000539286
718,0.000639933
719,0.000685458
720,0.000589499
721,0.000504381
722,0.000503349
723,0.000200574
724,0.000355493
725,0.000354401
726,0.000612673
727,0.000367646
728,0.000344362
729,0.000438578
730,0.000560896
731,0.000528275
732,0.000515221
733,0.000360522
734,0.000537864
735,0.000378435
736,0.000344833
737,0.00049322
738,0.000560415
739,0.000488351
740,0.000422207
741,0.000555426
742,0.000515823
743,0.000446512
744,0.000656615
745,0.000399044
746,0.000531551
747,0.00057349
748,0.000559383
749,0.000648229
750,0.000335315
751,0.000457844
752,0.000407039
753,0.000666854
754,0.000492439
755,0.000494883
756,0.000472021
757,0.000390549
758,0.000499933
759,0.000548744
760,0.000519609
761,0.000437836
762,0.000566026
763,0.000553963
764,0.000365772
765,0.000424522
766,0.000445842
767,0.000646516
768,0.000407591
769,0.000572568
770,0.000361304
771,0.000554334
772,0.000452914
773,0.000569863
774,0.000328092
775,0.000463625
776,0.000564232
777,0.000508358
778,0.000521824
779,0.000597535
780,0.000447935
781,0.000567648
782,0.000576105
783,0.000558231
784,0.000588447
785,0.000421746
786,0.000464977
787,0.000590361
788,0.000607383
789,0.000540498
790,0.000531932
791,0.00063805
792,0.000475557
793,0.000480596
794,0.000439499
795,0.000563481
796,0.000517796
797,0.000509189
798,0.000473002
799,0.00047756
800,0.000491036
801,0.000287136
802,0.000494302
803,0.000517215
804,0.00074511
805,0.000438037
806,0.000486126
807,0.000517665
808,0.000375731
809,0.000365622
810,0.000550186
811,0.00043423
812,0.000504862
813,0.000373627
814,0.000597223
815,0.00056287
816,0.000588117
817,0.000543934
818,0.000502968
819,0.000587737
820,0.0005794
821,0.000571556
822,0.000620708
823,0.000545257
824,0.000415375
825,0.000369279
826,0.000318254
827,0.000442706
828,0.000495785
829,0.000468153
830,0.000535859
831,0.000294699
832,0.000535699
833,0.000360472
834,0.000426386
835,0.000433679
836,0.00038561
837,0.000393023
838,0.000535739
839,0.000598918
840,0.000506515
841,0.00052529
842,0.000527223
843,0.000509731
844,0.000526572
845,0.000583027
846,0.000572197
847,0.000481037
848,0.000372375
849,0.000518767
850,0.000531912
851,0.000582196
852,0.000639332
853,0.000510823
854,0.000443638
855,0.000505313
856,0.000587356
857,0.000460128
858,0.000443637
859,0.00049338
860,0.000425834
861,0.000581736
862,0.000602133
863,0.000581945
864,0.000527965
865,0.000727087
866,0.000629324
867,0.000379538
868,0.000563181
869,0.0003268
870,0.000580813
871,0.000564292
872,0.000587145
873,0.000566467
874,0.000527655
875,0.000549865
876,0.000754137
877,0.000515241
878,0.000314196
879,0.000563501
880,0.00042876
881,0.000516624
882,0.000431435
883,0.000393855
884,0.000468013
885,0.000538394
886,0.000559914
887,0.000581966
888,0.000555305
889,0.000453637
890,0.000570925
891,0.000587536
892,0.000577578
893,0.000596652
894,0.000348169
895,0.000606742
896,0.000428258
897,0.000472381
898,0.000493691
899,0.000363869
900,0.00057355
901,0.0005522
902,0.000384998
903,0.000447555
904,0.000549565
905,0.000541229
906,0.00049866
907,0.000459427
908,0.000526572
909,0.000490294
910,0.000567188
911,0.000602774
912,0.00058983
913,0.000446011
914,0.000504131
915,0.000527624
916,0.000527464
917,0.000458765
918,0.00048249
919,0.000488581
920,0.000558452
921,0.000339323
922,0.000475267
923,0.000446453
924,0.000502016
925,0.000571085
926,0.000544566
927,0.000537453
928,0.000531592
929,0.000592375
930,0.000518356
931,0.000416026
932,0.000497989
933,0.000513969
934,0.000487579
935,0.000486267
936,0.000552551
937,0.000413241
938,0.000383215
939,0.000572127
940,0.000454247
941,0.000523697
942,0.000586063
943,0.000571837
944,0.000599037
945,0.00053603
946,0.000417719
947,0.000527875
948,0.00045564
949,0.000621308
950,0.000598126
951,0.000507016
952,0.000400266
953,0.00027357
954,0.000230851
955,0.00043951
956,0.000602093
957,0.000450731
958,0.000460329
959,0.00054673
960,0.000484073
961,0.000490836
962,0.000417599
963,0.000357206
964,0.000535398
965,0.00057387
966,0.00047169
967,0.000526923
968,0.000532693
969,0.000689936
970,0.00047184
971,0.000446152
972,0.00052551
973,0.000576045
974,0.000544666
975,0.000620407
976,0.000465879
977,0.000534657
978,0.000463785
979,0.000257651
980,0.000561076
981,0.000355022
982,0.000369649
983,0.000623774
984,0.000580913
985,0.000662306
986,0.000462413
987,0.000420654
988,0.00043988
989,0.000444108
990,0.000522675
991,0.000604789
992,0.000560264
993,0.000515702
994,0.000575533
995,0.000540699
996,0.000453827
997,0.000485165
998,0.000455179
999,0.000566176
